model_code,car_type,trans_mode,fuel_type,branch,affiliate_code,region,trading_complex,refund,vain_effort,guarantee,selected_color,reg_month,adv_month,maker_code,class_code,car_code,grade_code
11028.0,RV,CVT,CNG,강남,205001.0,강남구,21세기중고차매매단지,N,N,N,갈색,1.0,1.0,101.0,1101.0,1101.0,0.0
11051.0,SUV,SAT,LPG,강북,205017.0,강릉시,DY카랜드,Y,Y,Y,검정색,2.0,2.0,102.0,1105.0,1104.0,1.0
11054.0,경차,기타,LPG(일반인가능),강서,205020.0,강서구,M-City 단지,,,,노랑색,3.0,3.0,,1108.0,1105.0,2.0
11080.0,대형,수동,가솔린,광주,205033.0,거제시,M모터스프라자,,,,보라색,4.0,4.0,,1109.0,1106.0,3.0
11098.0,버스,오토,가솔린+LPG,대구,205043.0,경산시,가양오토갤러리,,,,빨강색,5.0,5.0,,1111.0,1111.0,4.0
11100.0,소형,,기타,대전,205044.0,경주시,간석자동차매매단지,,,,은색,6.0,6.0,,1112.0,1112.0,5.0
11107.0,스포츠카,,디젤,부산,205049.0,계양구,강남자동차매매단지,,,,주황색,7.0,7.0,,1115.0,1113.0,6.0
11109.0,승합,,전기,수원,205051.0,고양시 덕양구,강동자동차매매단지,,,,진주색,8.0,8.0,,1116.0,1120.0,7.0
11110.0,준중형,,하이브리드(LPG),온라인사업팀,205055.0,고양시 일산동구,강릉시 개별단지,,,,초록색,9.0,9.0,,1119.0,1121.0,8.0
11111.0,중형,,하이브리드(가솔린),울산,205059.0,고양시 일산서구,거제시 개별단지,,,,파랑색,10.0,10.0,,1121.0,1122.0,9.0
11112.0,트럭,,하이브리드(디젤),인천,205062.0,광명시,거제자동차매매단지,,,,회색,11.0,11.0,,1122.0,1123.0,10.0
11114.0,특수,,,전주,205065.0,광산구,경기자동차매매단지,,,,흰색,12.0,12.0,,1124.0,1127.0,11.0
11117.0,,,,창원,205066.0,구리시,경매자동차매매단지,,,,,,,,1125.0,1128.0,12.0
11183.0,,,,청주,205068.0,군산시,경매장자동차매매단지,,,,,,,,1126.0,1129.0,13.0
11187.0,,,,,205069.0,금정구,경주자동차매매단지,,,,,,,,1127.0,1130.0,14.0
11190.0,,,,,205074.0,김포시,고양시 덕양구 개별단지,,,,,,,,1129.0,1133.0,15.0
11192.0,,,,,205079.0,김해시,고양시 일산서구 개별단지,,,,,,,,1130.0,1134.0,16.0
11195.0,,,,,205098.0,남구,광명시 개별단지,,,,,,,,1131.0,1135.0,17.0
11199.0,,,,,205099.0,남동구,광명자동차매매단지,,,,,,,,1132.0,1141.0,18.0
11215.0,,,,,205105.0,남양주시,구리시 개별단지,,,,,,,,1133.0,1142.0,20.0
11216.0,,,,,205106.0,달서구,국민차매매단지(공항점),,,,,,,,1143.0,1143.0,21.0
11227.0,,,,,205108.0,달성군,국민차매매단지(부천점),,,,,,,,1148.0,1144.0,22.0
11259.0,,,,,205109.0,담양군,군산시 개별단지,,,,,,,,1151.0,1151.0,23.0
11262.0,,,,,205110.0,대덕구,군산자동차매매단지,,,,,,,,1152.0,1152.0,24.0
11264.0,,,,,205111.0,동구,금사자동차매매단지,,,,,,,,1153.0,1155.0,25.0
11265.0,,,,,205113.0,동두천시,김해시 개별단지,,,,,,,,1154.0,1156.0,26.0
