price	pred_price	std
2650	2574.77	49.14
2990	2800.62	63.57
2800	2884.11	57.25
690	647.75	16.91
1550	1455.78	26.4
1520	1335.64	29.08
2350	2127.07	42.54
2699	2758.34	51.96
990	1008.25	19
2299	2301.18	51.96
750	670.09	19.23
790	698.4	15.28
1190	1189.81	24.11
2830	2915.09	64.03
660	731.69	15.51
1450	1379.13	27.39
420	462.54	12.45
2320	2334.78	51.19
410	374.36	8.88
2510	2458.83	55.23
2140	2226.3	42.47
690	695.09	15.2
770	770.64	16.41
1250	1163.49	28.54
1520	1432.74	37.52
670	675.77	14.9
399	465.25	14.58
1020	1111.73	21.45
1480	1522.82	28.84
2400	2420.46	44.4
1770	1573.39	26.87
2530	2540.39	47.26
1799	2032.8	47.92
250	278.11	8.26
1170	1122.52	23.03
1100	1290.12	28.92
870	740.45	14.71
2090	2223.05	41.06
570	563.6	17.78
1390	1276.82	29.75
3650	3157.4	69.93
2250	2256.91	42.6
1860	1875.94	32.19
2360	2466.63	51.35
790	801.62	14.63
1690	1874.16	50.05
1070	1065.95	23.58
2200	2306.29	48.89
1050	975.25	19.02
750	753.74	15.35
980	1001.49	19.55
1050	1064.72	23.14
1390	1371.66	32.42
1090	1138	29.32
390	419.65	10.45
2050	2203.51	52.37
3040	3020.95	49.11
1790	1783.58	35.72
1730	1722.08	36.21
699	722.73	13.41
1360	1379.11	30.1
500	518.98	13.9
3890	3844.47	82.44
400	403.96	11.57
1070	1141.55	29.27
800	893.89	15.47
580	583.66	13.44
670	661.19	11.79
2890	2775.88	56.85
280	308.53	9.29
2580	2473.53	70.09
1490	1457.44	32.23
690	667.11	13.35
3950	4079.97	71.43
1190	992.99	21.39
1190	1152.19	22.22
710	795.27	16.51
1060	983.43	21.6
530	589.2	11.69
1390	1400.09	27.21
1190	1211.03	21.88
530	528.59	14.63
890	890.59	17.61
3290	3242.38	65.39
1470	1456.69	30.03
1130	1116.4	25.69
3890	3557	77.85
1560	1476.07	30.89
1330	1349.87	24.42
1860	1947.04	41.74
630	584.4	26.2
850	865.92	21.21
1990	2012.46	40.83
920	935.76	15.79
1750	1795.4	28.17
400	416.53	10.69
1320	1315.42	32.08
1020	1087.3	20.67
850	798.53	19.55
3050	2933.63	49.91
630	720.57	15.55
520	569.58	14.22
2100	2111.88	35.39
450	511.18	12.14
1170	1101.54	24.67
580	540.86	13.55
3100	2804.96	55.87
1100	1058.63	22.61
820	777.54	13.6
460	487.2	10.32
890	967.74	15.94
450	498.71	13.82
910	926.87	19.92
2430	2437.15	47.23
550	556.56	15.59
470	454.61	10.52
470	461.65	10.72
2870	2835.29	56.2
1270	1263.62	25.39
600	630.55	13.96
560	563.06	19.23
599	672.98	17.25
999	1000.21	18.88
690	652.03	14.58
530	541.7	12.28
1950	2000.66	47.25
1930	1952.52	32.03
750	778.63	15.04
2570	2672.52	52.49
1320	1169.14	24.73
890	825.15	19.88
480	487.83	10.18
1770	1802.08	33.76
620	625.94	16.61
2330	2374.26	44.86
1150	1136.49	25.53
570	571.23	11.56
1080	1189.54	29.86
1270	1334.37	31.1
1200	1362.37	24.33
780	894.82	17.86
3130	3145.12	59.95
890	910.48	21.17
1420	1363.59	19.9
950	1016	23.2
1390	1344.56	22.53
890	862.49	20.08
1090	1098.86	20.97
2020	1921.57	48
2150	2154.38	42.59
1650	1664.31	29.63
1490	1525.82	31.64
520	569.98	11.16
1170	1032.73	21.1
770	792.81	14.04
2350	2286.02	42.98
1020	903.02	16.91
2600	2594.54	51.38
1200	1195.46	20.05
370	391.32	9.43
1210	1117.7	25.67
1550	1493.36	32.83
730	693.35	19.15
2305	2012.88	55.14
620	613.94	14.82
530	547.74	11.61
2190	2100.16	49.51
1450	1428.02	23.91
3790	3636.47	84
450	448	14.78
1330	1264.41	35.77
1190	1178.12	22.88
489	513.3	11.16
330	333.66	9.18
1570	1552.11	31.81
3050	3091.86	69.92
1150	1092.22	23.76
390	453.06	9.81
870	828.35	20.4
299	261.54	8.37
2390	2233.77	48.89
1710	1605.34	30.35
620	605	14.76
1750	1604.01	27.97
2590	2524.46	59.4
1380	1340.24	29.4
1080	1119.55	17.38
1350	1333.67	35.77
1550	1645.67	35.76
1700	1730.34	34.3
1120	1063.74	22.91
1950	1997.73	38.3
2160	2139.24	41.88
2655	2678.62	48.03
3290	3177.29	64.24
1050	1088.77	28.75
4490	4118.75	105.6
540	552.44	13.15
1330	1328.31	29.92
880	911.14	21
1660	1707.05	26.98
1430	1429.76	33.85
1080	1080.75	18.24
700	630.72	14.27
890	876.78	19.05
2230	2224.36	39.19
2900	2995.78	56.45
870	916.43	19.9
2950	3035.49	60.06
550	570.01	16.37
770	754.27	16.29
580	623.91	16.54
1450	1464.32	25.25
530	506.05	11.26
3200	3034.63	52.92
880	822.49	18.83
2070	1966.84	46.96
1170	1128.01	26.71
750	660.9	14.79
380	305.04	13
650	571	10.58
799	811.21	16.98
3020	3095.99	72.07
1670	1625.02	35.89
400	371.52	10.47
2920	2606.19	42.95
1530	1602.16	26.93
2480	2428.53	53.28
1599	1567.16	39.6
1540	1505.71	27.5
1350	1354.51	27.3
999	998.98	18.44
720	663.9	19.54
1360	1241.27	24.08
2270	2180.91	35.12
780	728.25	13.2
1470	1382.12	30.2
1910	1994.94	39.49
4080	4100.39	99.57
1220	1206.23	22.01
330	319.68	11.17
1820	1780.02	32.97
1100	1070.08	22.07
1070	1021.51	18.36
2250	2188.83	48.61
1150	1172.61	22.42
530	567.25	15.41
630	660.15	21.38
670	670.05	14.13
599	554.29	13.4
1070	963.12	23.32
1100	1168.07	21.64
1150	1099.03	28.4
690	688.59	13.35
220	231.47	7.13
1950	2067.62	38.57
320	354.28	7.96
840	818.39	18.5
2090	2060.23	41.1
290	281.86	6.73
1530	1520.35	33.62
2030	1916.16	40.98
340	345.06	8.84
2180	2136.86	48.13
2620	2603.83	47.24
670	701.15	21.57
1870	1745.66	39.86
1990	2121.31	48.04
2440	2451.18	55.68
1299	1279	23.45
740	780.24	19.21
2499	2501.49	36.7
2730	2792.39	66.36
1370	1333.45	21.76
2970	3230.66	69.74
3750	3893.8	83.15
950	995.45	19.01
2000	2046.83	44.71
640	632.56	16.11
680	709.53	17.29
2830	2915.67	53.35
1990	1997.91	44.99
2150	2226.93	39.15
899	798.33	18.01
660	692.79	14.54
920	787.81	17.02
960	923.83	23.12
3270	3458.73	71.75
270	288.07	9.92
1110	1124.08	21.96
980	1033.12	19.68
2440	2475.75	46.66
1070	1078.71	21.74
750	722.3	19.31
950	974.21	23.71
2170	2259.25	42.58
2250	2151.68	38.35
1430	1439.57	27.68
2450	2428.96	46.54
999	1075.59	23.62
1250	1241.76	25.53
3030	2949.75	62.95
690	632.33	17.35
1450	1486.58	32.48
3050	3172.24	58.34
2050	2035.18	32.28
799	790.29	18.2
370	382.23	9.4
1820	1831.68	31.28
1310	1386.85	26.08
320	348	8.66
1080	1036.59	19.68
2700	2690.2	51.68
1090	1059.65	22.97
1650	1608.7	33.14
360	356.72	9.93
560	529.68	16.33
1420	1472.47	30.79
2950	2951.5	58.61
1730	1651.25	36.4
1790	1752.95	34.79
3650	3495.89	69.45
640	671.18	15.14
1199	1102.42	19.91
2820	2865.47	59.69
1580	1518.66	40
790	772.06	19.53
520	495.67	10.12
2400	2323.62	51.49
2500	2502.24	44.02
1180	1126.1	29.93
1070	1007	20.04
970	998.17	27.5
1410	1652.24	31.34
980	1024.8	19.37
1010	957.69	22.17
2720	2649.56	52.76
600	566.9	13.32
900	898.35	16.47
1390	1424.05	41.39
1070	1008.43	19.85
695	670.49	18.67
1430	1407.33	34.83
1420	1570.18	36.99
1690	1558.7	42.37
2300	2276.12	46.09
1400	1494.95	28.83
2440	2475.59	52.37
1890	1825.95	30.57
590	619.79	16.46
960	906.05	22.41
620	644.59	15.69
3050	2959.68	62.82
290	288.69	8.8
1130	1217.84	23.92
2570	2396.62	46.82
2100	2130.33	48.12
1920	1877.35	31.67
690	740.25	18.57
1420	1372.81	28.03
750	704.36	15.99
2990	2941.17	75.24
1580	1659.16	25.42
880	873.78	17.25
2100	1829.6	26.55
1100	1209.27	29.26
1050	1060.88	20.94
990	1012.93	17.57
430	423.83	10.55
1060	971.97	20.89
360	387.17	8.87
1150	1246.57	22.54
500	511.22	17.94
2770	2681.17	51.22
860	922.5	21.08
1750	1684.46	37.06
1920	2054.73	37.4
1550	1540.48	39.6
1440	1394.17	22.7
850	926.7	18.6
1399	1481.74	25.78
990	968.85	19.13
720	713.4	16.65
960	1032.15	22.81
1630	1709.83	33.14
1180	1219.57	24.93
2790	2813.4	59.95
330	358.77	9.61
1250	1254.17	24.72
1380	1409.71	28.22
1880	1731.58	38.32
950	806.62	22.66
1200	1026.95	23.33
990	1126.19	22.1
765	814.74	16.7
1220	1064.09	21.01
1099	976.84	15.78
540	521.41	15.92
950	1081.08	25.38
1090	969.13	21.53
450	558.68	12.8
500	424.93	11.48
1250	1325.87	29.93
2350	2014.9	43.88
1690	1614.52	29.68
1720	1701.49	34.23
3550	3961.84	82.06
1739	1876.65	37.07
1599	1605.38	38.95
2490	2652.56	64.63
1250	1169.31	20.68
1540	1431.6	25.47
690	662.19	14.98
590	562.44	15.74
470	449.14	13.66
1870	1853.55	36.37
1799	1786.14	30.92
3200	2764.29	76.9
1240	1341.7	24.04
550	504.57	11.26
320	295.61	9.67
550	652.64	13.99
820	920.3	13.04
1550	1525.54	26.89
1420	1379.02	20.13
2180	2141.66	33.8
799	773.02	18.25
1530	1500.73	35.65
1080	1091.77	20.43
2280	2172.66	43.95
890	834.74	20.85
1550	1536.09	27.1
650	669.96	16.06
950	1003.52	20.18
1240	1190.99	25.71
1130	1159.43	22.99
3290	2970.29	50.47
1950	1948.79	40.12
1390	1355.93	28.39
1100	1017.19	22.58
1550	1588.61	33.35
1550	1610.73	29.83
2550	2593.27	51.53
590	576.43	12.02
1330	1306.96	24.64
1090	1087.29	19.5
2250	2202.15	42.43
990	917.49	20.46
2250	2335.23	48.08
640	567.36	11.65
2190	2133.95	54.09
1110	1006.78	23.82
790	773.16	19.54
580	556.3	10.74
2200	2322.26	52.64
950	877.36	23.96
2450	1992.33	71.06
770	781.4	23.11
1400	1500.32	30.16
1330	1309.77	24.87
1170	1266.19	29.14
520	544.32	15.79
470	503.71	10.38
1490	1498.28	34.88
520	557.46	12.83
930	978.13	19.32
990	958.56	20
2840	2846.53	51.78
1100	1178.24	23.19
1100	954.43	22.28
1060	1109.97	18.46
1370	1397.68	30.99
2690	2683.82	58.69
1150	1103.96	26.69
320	349.5	8.07
630	668.68	13.88
3900	3941.18	82.69
370	444.72	14.88
1560	1741.37	44.87
1260	1319.59	18.62
830	883.99	16.21
590	635.93	16.21
3590	3779.68	88.33
1280	1405.69	28.05
3030	3159.73	69.05
2050	1968.72	35.5
3590	3604.27	78.43
410	419.64	11.2
1040	1011.85	21.27
1190	1203.01	28.43
3770	3869.07	82.68
1070	1146.95	23.92
550	576.55	12.82
1290	1151.42	24.58
2250	2385.44	49.4
1780	1889.58	35.04
1120	1075.62	21.17
740	792.93	17.1
520	507.83	16.39
2540	2433	47.25
950	931.23	19.24
800	832.42	21.99
500	485.44	14.95
480	444.21	13.92
1840	1762.41	35.92
990	919.07	20.64
2230	2209.58	37.58
850	932.21	19.9
999	945.91	15.48
1150	1015.86	22.79
3450	3526.21	72.67
1350	1483.15	30.02
1450	1472.67	26.72
1950	1952.45	46.02
1470	1491.46	27.6
1890	1919.56	32.34
450	481.26	13.22
980	1061.23	24.15
1000	956.69	31.45
1100	928.88	30.69
2700	2874.6	70.74
1200	1216.16	24.02
2390	2106.56	53.33
360	393.12	10.57
1700	1612.24	34.48
2790	2806.91	58.66
1350	1355.05	26.05
1070	962.86	19.87
3650	3690.67	84
920	995.49	20.24
2570	2495.73	49.17
890	904.84	29.07
730	663.67	12.68
2320	2192.71	44.71
690	733.71	16.12
650	623.15	13.19
550	510	10.73
640	732.74	16.11
850	893.62	17.65
790	870.7	19.79
1990	1999.94	41.62
2730	2657.8	59.38
599	649.62	13.51
720	720.53	16.47
770	733.49	16.96
680	629.99	15.06
2900	2863.08	56.2
1320	1320.22	29.73
1180	1037.07	20.58
590	592.51	11.68
1310	1346.88	24.73
